1000 4000
561 609 65
759 609 72
788 609 88
972 609 82
207 9 71
398 9 52
555 9 23
10 393 3
388 393 8
407 393 45
740 393 78
817 393 94
952 393 4
586 10 56
636 10 67
797 10 60
10 444 21
69 444 34
372 444 73
463 444 39
693 444 84
10 682 12
110 682 82
836 682 68
928 682 41
11 522 66
148 522 33
170 522 39
205 522 2
209 522 73
377 522 98
943 522 39
12 11 35
165 11 11
198 11 30
332 11 12
829 11 87
98 12 42
708 12 98
744 12 37
889 12 33
12 800 69
48 800 76
507 800 51
616 800 8
910 800 57
13 93 18
93 93 25
117 93 35
686 93 11
765 93 36
865 93 64
881 93 87
58 13 83
101 13 28
946 13 18
13 144 100
259 144 74
307 144 62
679 144 50
848 144 94
876 144 94
962 144 52
13 223 79
245 223 34
304 223 42
638 223 94
13 447 37
81 447 17
173 447 24
835 447 67
13 628 95
292 628 83
477 628 17
584 628 94
747 628 50
14 128 89
25 128 11
999 128 54
80 14 33
555 14 9
666 14 10
14 176 32
276 176 19
626 176 90
788 176 12
14 425 11
86 425 45
94 425 92
109 425 35
293 425 65
703 425 90
14 748 70
680 748 7
997 748 69
15 240 52
176 240 21
333 240 86
499 240 54
524 240 12
851 240 53
920 240 14
961 240 83
225 15 34
566 15 80
655 15 13
15 334 75
89 334 75
212 334 39
258 334 71
281 334 36
325 334 85
496 334 45
867 334 73
15 939 48
480 939 8
563 939 68
16 242 15
178 242 51
563 242 26
361 16 51
376 16 43
538 16 73
769 16 94
16 526 92
359 526 5
735 526 42
743 526 96
831 526 26
16 802 46
159 802 65
601 802 27
650 802 26
840 802 42
16 845 3
282 845 18
573 845 99
677 845 40
981 845 44
16 891 39
91 891 15
108 891 42
331 891 12
337 891 28
400 891 3
17 621 62
99 621 2
425 621 54
18 17 38
42 17 29
544 17 53
17 650 54
24 650 73
412 650 60
832 650 57
17 717 35
136 717 34
439 717 19
446 717 4
449 717 91
635 717 38
933 717 29
17 801 31
860 801 42
17 851 57
248 851 48
425 851 65
130 18 16
132 18 22
157 18 65
18 102 51
300 102 59
451 102 55
561 102 33
574 102 72
888 102 45
18 343 68
522 343 60
535 343 63
663 343 30
943 343 2
18 435 4
579 435 57
19 99 29
72 99 72
80 99 33
150 99 98
264 99 72
584 99 75
599 99 34
687 99 92
777 99 71
856 99 25
326 19 99
675 19 84
19 246 2
56 246 64
523 246 8
783 246 76
19 404 73
647 404 20
19 594 46
211 594 44
426 594 28
499 594 42
551 594 94
683 594 9
814 594 80
961 594 47
20 53 2
51 53 52
312 53 5
355 53 42
452 53 27
591 53 40
877 53 27
50 20 36
64 20 59
336 20 12
490 20 41
617 20 89
20 413 83
65 413 68
143 413 32
550 413 32
656 413 7
20 434 96
267 434 1
315 434 2
456 434 1
917 434 24
20 635 39
97 635 77
334 635 22
508 635 12
613 635 63
714 635 18
21 116 17
341 116 6
849 116 61
916 116 64
978 116 12
152 21 31
433 21 86
477 21 10
482 21 21
21 383 27
133 383 30
313 383 85
615 383 60
683 383 65
684 383 17
21 969 50
146 969 71
236 969 10
455 969 52
586 969 94
772 969 48
825 969 50
22 73 86
43 73 37
233 73 35
473 73 91
56 22 14
322 22 40
22 130 78
89 130 15
165 130 22
22 164 24
144 164 55
158 164 26
258 164 97
595 164 83
853 164 89
22 870 81
675 870 53
23 424 26
758 424 93
43 23 98
522 23 58
865 23 14
24 167 38
126 167 55
176 167 48
788 167 48
801 167 66
891 167 57
206 24 33
243 24 88
286 24 70
726 24 46
780 24 65
867 24 44
941 24 58
25 55 72
703 55 16
857 55 80
873 55 86
266 25 44
293 25 86
494 25 7
988 25 70
25 100 40
561 100 2
624 100 75
647 100 31
915 100 47
25 476 33
257 476 57
584 476 24
739 476 16
25 590 94
101 590 52
384 590 57
26 300 46
561 300 39
636 300 65
942 300 23
173 26 89
26 397 63
145 397 71
801 397 72
26 455 50
141 455 67
194 455 61
578 455 25
976 455 95
26 459 84
408 459 28
779 459 93
928 459 14
26 482 14
28 482 20
161 482 3
433 482 55
675 482 100
943 482 66
972 482 61
26 814 17
344 814 86
398 814 8
857 814 83
964 814 43
27 367 87
225 367 54
270 367 11
405 367 96
574 367 80
800 367 53
27 554 42
184 554 44
351 554 40
376 554 69
521 554 42
560 554 24
27 728 19
216 728 79
248 728 13
302 728 75
892 728 8
28 58 59
589 58 22
782 58 76
981 58 28
62 28 64
279 28 23
489 28 42
760 28 7
773 28 63
28 108 88
129 108 85
381 108 92
467 108 21
476 108 65
645 108 12
733 108 62
29 40 10
621 40 46
837 40 16
130 29 8
368 29 26
380 29 11
562 29 79
569 29 8
671 29 53
735 29 50
741 29 33
29 135 70
38 135 34
165 135 91
29 595 15
35 595 67
30 147 49
59 30 95
83 30 71
437 30 7
776 30 36
852 30 13
30 511 87
40 511 92
349 511 18
607 511 38
776 511 69
847 511 94
30 529 42
129 529 22
408 529 86
578 529 55
30 806 98
149 806 41
515 806 78
978 806 24
30 838 72
287 838 79
315 838 86
559 838 79
590 838 87
30 918 20
645 918 39
655 918 68
724 918 9
958 918 75
31 112 21
222 112 19
403 112 56
765 112 89
307 31 56
429 31 94
31 115 53
405 115 40
432 115 28
588 115 51
914 115 6
31 392 45
335 392 20
617 392 11
829 392 10
840 392 70
32 113 58
203 113 29
630 113 64
719 113 6
853 113 15
995 113 5
135 32 95
152 32 23
386 32 21
579 32 100
612 32 61
985 32 14
993 32 86
32 477 25
71 477 51
99 477 75
125 477 85
219 477 26
330 477 17
374 477 39
566 477 51
972 477 38
32 563 16
489 563 23
699 563 85
32 740 98
380 740 3
425 740 76
519 740 84
636 740 16
965 740 89
32 961 36
92 961 56
566 961 20
32 979 49
233 979 87
323 979 11
851 979 44
929 979 17
33 132 91
77 132 68
462 132 68
857 33 34
946 33 48
33 548 81
358 548 41
793 548 55
810 548 87
950 548 39
962 548 32
34 431 12
333 431 84
490 431 72
598 431 12
641 431 58
844 431 40
941 431 15
55 34 36
209 34 79
277 34 98
377 34 18
413 34 11
473 34 19
35 37 41
212 37 77
732 37 35
948 37 10
267 35 23
272 35 14
557 35 45
35 157 64
51 157 17
58 157 43
101 157 98
487 157 98
35 317 25
264 317 74
270 317 27
765 317 31
909 317 95
35 523 58
60 523 17
529 523 27
563 523 65
604 523 27
35 589 51
119 589 14
252 589 68
404 589 29
612 589 90
874 589 27
35 731 76
35 747 10
198 747 44
899 747 71
35 822 54
190 822 85
302 822 91
375 822 25
466 822 92
35 825 96
940 825 54
983 825 12
35 889 19
65 889 37
101 889 10
558 889 66
698 889 15
35 926 24
174 926 47
227 926 50
233 926 49
504 926 39
764 926 27
815 926 83
946 926 15
35 953 11
439 953 77
593 953 8
36 462 68
542 462 44
737 462 45
746 462 15
876 462 14
133 36 96
169 36 27
658 36 98
659 36 89
748 36 69
993 36 57
36 539 10
266 539 1
678 539 29
751 539 64
36 974 52
220 974 41
258 974 79
276 974 19
37 753 65
343 753 32
755 753 95
813 753 63
37 775 81
959 775 7
37 777 71
106 777 16
195 777 83
339 777 55
904 777 98
37 793 85
125 793 60
316 793 86
489 793 36
809 38 35
38 224 16
99 224 14
292 224 31
746 224 4
38 514 43
73 514 86
600 514 46
875 514 53
952 514 82
988 514 5
38 876 59
415 876 7
440 876 87
837 876 14
38 917 32
169 917 47
475 917 22
829 917 1
39 419 40
166 419 42
293 419 66
404 419 100
423 419 18
429 419 69
54 39 50
411 39 63
508 39 73
531 39 79
558 39 83
622 39 67
39 695 94
291 695 30
413 695 90
39 835 81
98 835 69
587 835 9
601 835 69
615 835 77
709 835 89
40 129 31
558 129 99
600 129 23
777 129 20
818 129 50
40 500 75
404 500 59
435 500 77
457 500 66
795 500 25
40 925 72
50 925 46
56 925 16
116 925 49
148 925 100
363 925 47
370 925 76
415 925 53
775 925 26
833 925 3
942 925 64
40 962 39
71 962 20
270 962 21
332 962 86
351 962 12
711 962 72
809 962 80
41 798 17
343 798 30
783 798 45
703 41 49
971 41 92
139 42 77
141 42 58
663 42 33
827 42 72
42 60 89
178 60 17
584 60 58
982 60 59
42 98 83
70 98 48
183 98 93
630 98 25
42 119 5
143 119 60
160 119 65
162 119 39
297 119 84
673 119 61
676 119 49
960 119 25
43 830 100
111 830 7
163 830 87
44 48 17
94 48 12
178 48 48
352 48 14
448 48 49
452 48 17
461 48 42
510 48 47
776 48 96
75 44 80
93 44 88
175 44 79
276 44 6
534 44 66
579 44 68
44 209 60
123 209 17
44 263 11
592 263 45
44 362 84
44 372 69
445 372 39
45 81 62
148 81 36
318 81 21
405 81 7
685 81 85
817 81 18
908 81 10
129 45 45
423 45 58
45 712 49
348 712 97
46 283 50
143 283 22
302 283 1
773 283 65
641 46 14
652 46 80
728 46 54
46 813 33
476 813 12
923 813 74
936 813 93
47 546 33
111 546 94
280 546 6
568 546 13
62 47 52
179 47 27
251 47 94
426 47 84
640 47 47
645 47 55
660 47 48
47 821 83
523 821 2
531 821 44
48 120 49
318 120 39
326 120 83
729 120 72
49 339 42
114 339 6
246 339 28
430 339 76
493 339 24
909 339 50
233 49 52
328 49 83
494 49 74
863 49 74
49 423 80
206 423 12
554 423 92
951 423 59
995 423 31
49 449 16
135 449 21
524 449 60
701 449 91
859 449 61
962 449 86
157 50 46
283 50 92
341 50 8
342 50 47
343 50 4
355 50 39
895 50 97
50 583 60
909 583 82
989 583 100
50 990 10
230 990 87
526 990 29
613 990 14
117 51 12
191 51 73
205 51 41
319 51 55
596 51 46
684 51 64
832 51 4
51 173 49
127 173 63
645 173 66
754 173 43
769 173 20
939 173 57
51 877 68
260 877 37
576 877 74
51 992 46
215 992 6
304 992 25
336 992 75
534 992 44
767 992 80
787 992 31
52 521 37
143 521 76
246 521 59
288 521 14
317 521 37
615 521 92
750 52 31
757 52 13
772 52 70
887 52 18
52 755 51
486 755 28
573 755 11
52 756 50
999 756 28
53 140 35
309 140 89
386 140 44
633 140 100
780 140 55
992 140 57
53 663 87
192 663 60
411 663 2
705 54 35
793 54 82
995 54 40
997 54 86
54 374 52
115 374 29
789 374 78
54 685 46
63 685 39
121 685 14
199 685 36
711 685 88
896 685 16
54 985 61
327 985 87
352 985 64
882 985 51
930 985 68
92 56 57
301 56 63
629 56 92
56 74 22
58 74 7
257 74 35
826 74 85
952 74 66
56 149 84
56 871 55
395 871 83
498 871 27
770 871 46
57 549 46
567 549 53
621 549 99
831 549 36
644 57 40
57 787 3
65 787 55
96 787 58
132 787 96
173 787 56
566 787 49
576 787 56
853 787 42
979 787 84
57 896 92
103 896 47
234 896 96
57 942 88
96 942 99
839 942 91
850 942 3
58 77 23
240 77 55
405 77 61
487 77 63
58 205 52
215 205 68
636 205 70
906 205 17
58 560 32
763 560 97
821 560 12
318 59 10
726 59 64
59 200 69
491 200 35
516 200 50
520 200 2
993 200 61
59 723 80
150 723 96
925 723 72
59 887 63
120 887 80
280 887 66
59 914 15
90 914 1
282 914 35
399 914 42
473 914 30
859 914 22
61 812 13
573 812 21
832 812 89
271 61 61
103 62 14
229 62 71
424 62 35
495 62 32
963 62 54
62 215 100
217 215 88
482 215 89
678 215 62
62 486 14
197 486 5
469 486 5
602 486 10
658 486 50
751 486 58
837 486 17
942 486 24
991 486 61
63 355 45
297 355 20
401 63 83
457 63 26
578 63 82
810 63 66
63 567 74
140 567 86
395 567 39
491 567 73
579 567 74
670 567 79
700 567 87
891 567 22
954 567 89
64 493 96
260 493 98
527 493 62
986 493 36
65 178 22
816 178 84
329 65 90
677 65 24
65 194 51
130 194 93
143 194 68
246 194 80
65 386 38
337 386 55
441 386 37
678 386 98
65 684 54
180 684 79
621 684 19
785 684 73
920 684 7
959 684 95
65 737 29
209 737 13
305 737 43
546 737 74
909 737 62
970 737 46
66 247 35
87 247 98
234 247 12
279 66 37
66 289 77
342 289 81
410 289 43
791 289 50
939 289 31
66 379 80
230 379 49
457 379 92
663 379 67
946 379 1
66 897 87
70 897 22
136 897 60
565 897 36
588 897 6
866 897 48
977 897 36
67 337 9
241 67 30
301 67 71
310 67 23
590 67 69
840 67 76
67 612 74
198 612 5
67 840 56
355 840 99
401 840 31
602 840 74
812 840 66
814 840 49
995 840 60
67 976 89
101 976 34
129 976 3
145 976 13
68 331 36
827 331 65
839 331 14
520 68 44
599 68 13
828 68 11
994 68 24
68 762 70
574 762 28
754 762 47
69 204 6
231 204 63
244 204 33
773 204 98
999 204 94
391 69 22
528 69 71
577 69 75
905 69 20
69 442 48
338 442 67
487 442 59
613 442 72
692 442 59
887 442 9
69 742 58
490 742 98
819 742 72
69 949 48
355 949 76
537 949 51
236 70 67
511 70 30
614 70 16
716 70 64
812 70 84
70 623 61
149 623 32
151 623 68
390 623 43
540 623 64
558 623 4
610 623 88
733 623 39
865 623 79
988 623 85
70 816 92
138 816 81
143 816 66
71 318 99
89 318 71
101 318 60
207 318 89
735 318 93
742 318 7
71 674 17
101 674 25
109 674 22
445 674 93
628 674 24
642 674 25
881 674 6
151 72 39
393 72 35
625 72 15
837 72 94
870 72 97
72 358 68
446 358 48
459 358 26
528 358 20
72 363 57
72 519 40
664 519 66
735 519 36
842 519 49
973 519 67
73 461 22
86 461 100
111 461 38
126 461 90
168 461 15
374 461 77
545 461 81
882 461 58
73 770 94
207 770 46
294 770 1
511 770 98
601 770 28
74 110 58
209 110 60
599 110 67
737 110 41
74 513 20
160 513 30
364 513 81
487 513 1
576 513 89
634 513 17
804 513 24
74 633 71
264 633 78
74 713 37
967 713 53
74 950 7
176 950 28
270 950 51
325 950 74
482 950 11
861 950 99
961 950 33
282 75 88
741 75 85
75 285 10
138 285 69
185 285 96
245 285 81
264 285 71
676 285 27
872 285 78
919 285 18
76 986 62
423 986 48
879 986 11
284 76 73
888 76 31
77 286 46
460 286 85
637 286 55
798 286 30
77 947 31
630 947 14
657 947 13
77 954 74
139 954 32
78 114 94
293 114 42
298 114 49
396 114 100
415 114 35
504 114 68
650 114 100
906 114 64
467 78 25
520 78 45
651 78 37
714 78 75
78 319 64
106 319 36
589 319 51
718 319 59
78 412 31
78 418 41
79 257 12
188 257 50
370 257 93
653 257 81
819 257 77
904 257 66
225 79 26
339 79 79
895 79 66
79 931 91
145 931 5
157 931 40
316 931 75
324 931 38
437 931 40
523 931 8
602 931 33
685 931 33
503 80 20
80 468 90
724 468 51
777 468 77
81 201 83
296 201 83
965 201 12
81 315 49
776 315 41
81 377 9
544 377 99
645 377 44
81 384 55
167 384 76
475 384 14
486 384 2
524 384 8
589 384 98
674 384 34
757 384 33
814 384 100
82 142 66
87 142 35
185 142 75
251 142 86
254 82 77
453 82 80
487 82 14
684 82 45
694 82 90
82 236 94
152 236 36
82 340 38
111 340 23
803 340 97
978 340 96
82 527 52
584 527 37
672 527 58
82 557 88
126 557 4
690 557 88
866 557 61
82 854 95
204 854 51
516 854 1
538 854 35
191 83 1
668 83 65
83 454 59
243 454 11
427 454 56
503 454 36
805 454 96
84 133 32
107 133 69
134 133 60
393 133 76
569 133 48
601 133 50
717 133 46
858 133 60
952 133 64
97 84 28
428 84 58
865 84 99
84 159 78
536 159 11
628 159 38
84 244 38
121 244 90
302 244 97
584 244 12
84 759 39
148 759 77
214 759 32
637 759 90
639 759 94
831 759 8
952 759 73
84 780 5
98 780 90
309 780 89
457 780 39
515 780 26
735 780 94
897 780 19
84 995 87
308 995 89
477 995 6
657 995 88
841 995 41
946 995 15
85 860 70
368 860 22
438 860 60
452 860 15
721 85 57
854 85 62
85 988 79
86 169 81
476 169 84
565 169 1
748 169 75
774 169 18
923 169 20
516 86 6
525 86 62
86 180 34
485 180 20
593 180 34
637 180 55
767 180 21
86 292 9
155 292 70
561 292 6
627 292 84
86 352 21
283 352 1
383 352 16
772 352 12
86 479 53
118 479 26
170 479 98
296 479 80
303 479 59
86 971 77
156 971 99
425 971 18
510 971 61
361 87 96
532 87 19
564 87 52
585 87 88
828 87 16
926 87 72
87 175 26
420 175 85
487 175 25
538 175 85
905 175 38
87 937 90
173 937 70
380 937 35
783 937 87
847 937 44
979 937 99
88 273 42
143 273 63
162 273 21
549 273 58
617 273 40
835 273 11
365 88 25
784 88 27
904 88 17
958 88 86
88 359 64
143 359 10
178 359 71
180 359 37
343 359 58
530 359 80
88 381 83
322 381 98
88 744 80
109 744 59
295 744 38
406 744 89
456 744 61
499 744 69
648 744 38
731 744 32
878 744 5
896 744 59
138 89 62
534 89 30
928 89 29
933 89 20
89 382 86
99 382 64
153 382 95
177 382 19
380 382 60
799 382 69
800 382 31
89 693 6
93 693 42
381 693 50
619 693 16
700 693 25
756 693 7
89 750 63
138 750 60
183 750 87
89 778 66
257 778 67
346 778 18
511 778 19
647 778 95
90 746 48
200 746 60
726 746 56
876 746 48
918 746 32
154 90 31
268 90 20
335 90 12
91 139 71
361 139 95
588 139 68
615 139 57
727 139 14
748 139 56
844 139 95
252 91 64
331 91 74
558 91 18
579 91 38
643 91 56
91 163 35
239 163 38
780 163 9
921 163 41
91 252 71
213 252 50
298 252 15
908 252 96
91 760 49
117 760 94
375 760 73
495 760 15
591 760 77
620 760 55
654 760 55
745 760 71
772 760 45
999 760 25
91 941 4
105 941 85
118 941 82
418 941 22
712 941 21
864 941 39
636 92 88
930 92 60
92 463 35
770 463 30
92 826 49
400 826 63
435 826 34
742 826 46
973 826 100
93 134 45
698 134 68
885 134 36
945 134 7
93 255 23
199 255 64
317 255 24
939 255 74
93 617 51
258 617 44
590 617 14
152 94 66
198 94 52
574 94 27
681 94 54
798 94 41
975 94 33
94 506 5
142 506 68
221 506 24
384 506 79
94 662 94
800 662 38
94 809 72
138 809 100
685 809 83
757 809 22
94 998 19
238 998 62
251 998 39
385 998 25
571 998 19
95 699 64
175 699 86
403 699 39
764 699 58
919 699 25
943 699 13
969 699 73
282 95 92
603 95 69
808 95 4
809 95 41
95 815 46
167 815 75
226 815 56
449 815 24
571 815 74
841 815 82
95 818 4
495 818 69
645 818 56
836 818 63
979 818 8
95 834 93
414 834 30
96 237 52
478 237 91
567 237 14
96 348 66
780 348 29
798 348 10
890 348 62
216 97 65
381 97 58
500 97 63
744 97 72
97 195 33
656 195 21
724 195 90
974 195 44
97 551 38
546 551 47
551 551 77
646 551 35
97 892 48
133 892 33
316 892 89
539 892 78
614 892 22
654 892 31
821 892 78
98 221 34
178 221 52
271 221 82
308 221 100
469 221 92
921 221 7
994 221 72
98 251 82
161 251 77
598 251 73
98 689 90
111 689 12
160 689 22
185 689 46
99 264 34
846 264 66
847 264 16
889 264 96
963 264 11
99 360 91
138 360 54
178 360 96
247 360 32
477 360 18
560 360 79
909 360 61
990 360 24
100 259 56
546 259 1
831 259 90
859 259 70
100 416 80
463 416 99
556 416 92
673 416 3
922 416 64
923 416 81
976 416 84
100 579 96
142 579 1
480 579 51
802 579 39
974 579 36
127 101 84
205 101 50
330 101 25
554 101 35
770 101 34
946 101 47
101 533 73
133 533 29
392 533 44
399 533 76
461 533 77
804 533 87
864 533 56
989 533 8
101 584 2
305 584 29
354 584 13
382 584 83
814 584 55
101 832 68
561 832 42
891 832 17
101 948 23
179 948 48
563 948 39
952 948 83
102 387 37
432 387 97
622 387 35
807 387 73
102 736 56
578 736 20
956 736 79
958 736 43
988 736 33
995 736 38
102 804 72
137 804 62
345 804 53
860 804 71
898 804 34
426 103 99
916 103 20
103 126 3
301 126 41
376 126 35
939 126 2
961 126 88
103 833 13
485 833 85
595 833 23
596 833 57
776 833 51
287 105 84
312 105 6
332 105 34
626 105 45
837 105 64
106 256 2
250 256 30
293 256 27
469 256 91
640 256 34
695 256 53
221 106 45
422 106 7
761 106 100
812 106 38
106 409 54
173 409 45
205 409 50
715 409 17
775 409 7
453 107 75
107 472 44
950 472 16
993 472 75
107 647 80
220 647 12
445 647 34
554 647 36
657 647 31
846 647 80
901 647 50
107 655 44
444 655 47
873 655 72
108 248 46
456 248 73
560 248 24
649 248 72
724 248 39
839 248 50
108 456 36
283 456 89
108 847 23
118 847 76
322 847 93
336 847 81
338 847 52
372 847 70
724 847 40
444 109 84
480 109 64
865 109 80
927 109 45
109 123 21
220 123 92
684 123 33
975 123 62
109 415 2
526 415 45
814 415 56
109 697 53
253 697 97
736 697 92
871 697 45
930 697 97
109 790 89
147 790 68
174 790 33
326 790 33
522 790 65
621 790 39
750 790 40
109 869 62
201 869 86
325 869 74
207 111 41
111 361 99
395 361 35
543 361 43
595 361 5
731 361 5
862 361 20
112 324 59
247 324 96
826 324 67
892 324 66
935 324 28
112 489 26
156 489 76
401 489 21
455 489 87
636 489 10
648 489 81
898 489 14
112 657 8
301 657 37
388 657 49
786 657 89
112 861 94
329 861 92
432 861 72
792 861 34
112 928 79
132 928 76
681 928 41
755 928 99
923 928 71
113 155 24
395 155 56
524 155 99
568 155 26
679 155 13
976 155 25
113 274 63
164 274 71
501 274 83
834 274 95
886 274 13
113 678 23
166 678 26
211 678 8
381 678 5
467 678 86
114 125 3
868 125 54
889 125 61
114 624 69
402 624 60
516 624 38
583 624 26
699 624 99
742 624 100
957 624 31
114 880 38
437 880 59
440 880 58
941 880 65
115 722 10
365 722 50
613 722 67
116 291 1
333 291 18
495 291 48
556 291 33
801 291 45
859 291 10
917 117 35
117 591 64
438 118 99
504 118 89
629 118 90
119 146 25
119 966 76
287 966 50
644 966 83
907 966 71
120 179 37
129 179 73
120 185 55
551 185 99
120 410 83
310 410 14
505 410 4
551 410 30
120 688 95
333 688 21
480 688 94
720 688 23
982 688 79
498 121 82
121 407 89
277 407 70
479 407 3
901 407 38
121 535 59
578 535 15
122 408 51
579 408 53
791 408 26
824 408 78
229 122 79
278 122 11
429 122 5
483 122 37
526 122 43
568 122 94
711 122 82
738 122 57
768 122 65
946 122 1
122 483 81
190 483 62
195 483 100
649 483 32
736 483 51
746 483 37
124 792 57
276 792 51
353 792 8
616 792 41
774 792 98
878 792 33
294 124 5
542 124 64
685 124 86
124 846 50
160 846 7
178 846 52
286 846 3
341 846 73
351 846 33
734 846 94
742 846 36
927 846 27
125 158 55
219 158 4
238 158 26
715 158 33
126 227 34
398 227 79
464 227 58
563 227 2
706 227 3
869 227 37
931 227 91
958 227 4
126 451 71
249 451 30
718 451 32
771 451 41
857 451 91
919 451 27
927 451 51
126 729 35
186 729 60
417 729 18
614 127 22
127 353 61
358 353 52
397 353 33
524 353 6
842 353 88
127 368 60
206 368 40
336 368 1
650 368 71
749 368 12
817 368 30
990 368 19
129 230 21
184 230 26
467 230 7
636 230 24
680 230 16
767 230 56
960 230 49
129 970 28
160 970 62
238 970 100
251 970 55
745 970 7
950 970 52
130 433 4
308 433 2
917 433 77
130 705 66
348 705 25
446 705 55
597 705 68
679 705 82
130 789 6
781 789 56
863 789 11
894 789 50
131 866 55
390 866 6
421 866 29
455 866 81
408 131 84
652 131 82
765 131 30
809 131 1
131 965 47
206 965 37
340 965 14
639 965 80
132 577 11
652 577 80
804 577 91
822 577 54
133 254 56
158 254 1
163 254 88
873 254 81
956 254 69
133 828 26
155 828 68
465 828 64
133 863 19
475 863 35
134 516 2
135 607 62
614 607 45
662 607 86
829 607 81
978 607 4
135 984 40
427 984 38
644 984 94
686 984 21
136 659 5
244 659 92
297 659 4
338 659 61
345 659 18
445 659 30
669 659 90
195 136 80
217 136 11
244 136 56
431 136 93
897 136 49
137 558 26
138 558 35
149 558 14
355 558 25
374 558 34
504 558 83
610 138 100
659 138 29
784 138 57
138 417 46
235 417 96
256 417 4
539 417 99
138 978 81
140 978 35
852 978 45
897 978 53
139 143 57
628 143 86
667 143 88
940 143 9
139 245 6
909 245 46
994 245 100
329 141 29
435 141 95
636 141 42
702 141 11
867 141 21
141 429 5
163 429 26
329 429 95
141 666 7
184 666 63
843 666 17
845 666 95
142 294 62
263 294 28
290 294 35
509 294 75
540 294 9
802 294 54
879 294 53
900 294 64
142 329 38
553 329 14
142 751 42
307 751 96
566 751 81
774 751 53
833 751 23
142 852 2
619 852 69
628 852 41
675 852 73
706 852 9
807 852 94
889 852 65
897 852 54
974 852 51
143 586 55
302 586 2
317 586 89
329 586 76
411 586 62
144 213 47
366 213 31
570 213 67
589 213 41
803 213 2
144 496 15
393 496 14
665 496 97
909 496 87
922 496 14
144 564 65
237 564 77
385 564 26
506 564 25
677 564 77
787 564 93
842 564 51
144 637 24
186 637 87
567 637 51
605 637 24
673 637 38
726 637 87
777 637 93
144 721 71
547 721 24
863 721 4
865 721 34
278 145 69
506 145 88
692 145 86
699 145 46
904 145 17
145 499 56
292 499 100
922 499 64
964 499 12
145 820 57
333 820 37
526 820 8
750 820 7
858 820 71
917 820 73
146 857 62
655 857 35
147 316 30
700 316 33
858 316 81
147 849 32
395 849 73
536 849 24
707 849 6
766 849 50
147 881 68
238 881 79
534 148 15
538 148 53
822 148 6
824 148 19
931 148 30
148 568 10
356 568 12
387 568 18
148 613 38
235 613 7
619 613 55
148 727 93
235 727 74
520 727 47
681 727 51
742 727 38
149 559 87
189 559 47
286 559 25
563 559 19
937 559 10
149 629 89
673 629 26
995 629 73
375 150 44
784 150 13
806 150 35
951 150 33
150 784 44
341 784 80
470 784 95
551 784 3
560 151 89
151 198 60
531 198 49
151 703 9
253 703 52
455 703 42
475 703 15
796 703 53
181 152 25
640 152 83
717 152 39
775 152 56
152 202 35
167 202 53
233 202 60
297 202 15
563 202 82
670 202 54
740 202 40
887 202 20
152 481 27
233 481 94
393 481 35
868 481 33
152 732 66
169 732 60
225 732 68
594 732 99
783 732 62
797 732 27
